MaxAbsEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,FpDensityMorgan1,AvgIpc,BalabanJ,Ipc,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA7,SlogP_VSA8,TPSA,EState_VSA1,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,NHOHCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAromaticHeterocycles,NumAromaticRings,NumSaturatedHeterocycles,NumSaturatedRings,MolLogP,Value
12.539226,0.0030555953,-0.14992163,0.7630572,36.655174,408.527,1.2758621,3.261352,1.2668757,8417047.0,10.053652,5.697039,0.0,5.9595547,5.90718,0.0,10.111326,9.976383,0.0,11.336786,6.066367,74.13295,12.648723,21.32821,9.5314,39.496162,0.0,15.617556,16.828217,49.664906,7.1097975,34.97013,0.0,10.633577,0.0,0.0,11.336786,35.100487,9.5314,11.835813,0.0,16.29264,75.61,0.0,0.0,17.047155,23.492407,35.042538,19.262465,11.336786,30.82909,26.676327,4.736863,7.116688,21.454166,6.5865374,4.217183,1.8625052,8.799307,0.0,1.8576239,0.5,2.0,4.0,1.0,1.0,2.0,0.0,4.0,3.4504,6.34
12.418673,0.13399002,-0.15287486,0.8042058,35.703705,362.433,1.1481482,3.1926274,1.2620322,3606992.0,9.733939,11.21374,11.97666,5.9595547,5.90718,0.0,10.111326,9.976383,0.0,0.0,6.066367,80.05085,5.538925,0.0,9.211688,29.042475,0.0,15.617556,22.746122,44.063854,0.0,35.853233,0.0,10.633577,0.0,0.0,0.0,22.389639,4.794537,17.753717,0.0,17.175741,79.52,0.0,0.0,11.446105,17.239614,28.83387,44.918568,6.0760202,18.1991,20.60996,4.417151,5.340795,21.104292,6.571103,2.9577355,3.0223498,11.069017,0.0,0.0,0.47619048,2.0,4.0,1.0,1.0,2.0,0.0,4.0,3.2129,6.69
11.846037,0.0134778535,-0.57804096,0.8351492,13.791667,346.412,1.4166666,3.281082,1.8739334,388670.4,15.787319,10.825486,4.877147,11.7871685,5.90718,0.0,9.589074,9.9679575,0.0,11.336786,0.0,38.821854,17.678202,6.103966,14.325937,28.969007,0.0,9.9679575,11.651573,32.793083,5.3167887,23.206724,16.451063,15.787319,5.817863,5.879988,11.336786,27.886282,4.794537,5.9179063,0.0,10.571075,107.2,5.90718,0.0,28.686188,10.825486,29.74188,0.0,18.329578,13.847474,15.284745,10.4705305,5.5564156,32.22283,3.3811562,6.138021,0.20686898,3.3209696,3.69791,0.0,0.375,3.0,1.0,0.0,2.0,2.0,0.0,1.0,2.4397,9.35
13.2197895,0.10493862,-0.7194781,0.32689607,18.647058,487.71,0.9705882,2.8512387,1.3783879,41062788.0,15.116608,0.0,5.249938,17.721539,0.0,0.0,14.383612,0.0,0.0,11.761885,64.00222,38.318935,36.992416,5.6873865,14.383612,35.17081,0.0,10.216699,0.0,100.66377,24.53418,24.265469,0.0,10.216699,5.6873865,0.0,11.761885,53.547497,14.383612,0.0,0.0,0.0,69.72,5.249938,0.0,23.76338,26.05509,36.266155,50.286816,9.799819,31.189205,12.240526,0.0,0.0,43.0743,2.4379146,0.8907071,-0.1040518,11.889148,5.885534,0.0,0.6666667,1.0,0.0,2.0,0.0,1.0,1.0,1.0,5.1518,4.34
10.753009,0.0061728396,0.0061728396,0.47888666,9.444445,160.625,1.7777778,2.3663602,2.770352,177.47702,0.0,0.0,5.783245,0.0,0.0,0.0,4.794537,0.0,0.0,22.937725,6.066367,11.44643,0.0,10.757151,4.794537,28.72097,0.0,0.0,0.0,0.0,5.8800035,22.389944,0.0,0.0,0.0,0.0,22.937725,11.663248,0.0,0.0,0.0,0.0,17.07,0.0,0.0,11.663248,0.0,4.877147,11.336786,6.066367,11.44643,0.0,11.60094,0.0,11.49375,1.860895,0.0,0.090015434,0.0,0.0,0.0,0.16666667,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.1696,4.3
12.433738,0.26141015,-0.28631455,0.7808326,10.416667,323.352,1.25,3.0957696,1.8086078,459820.88,14.470802,5.7495117,17.847815,0.0,5.90718,0.0,9.778516,4.9839787,0.0,0.0,0.0,48.382477,24.501896,7.1097975,13.948551,5.90718,0.0,15.284745,0.0,13.468493,7.1097975,65.939995,17.073212,10.053652,0.0,5.7495117,0.0,22.984934,6.5447564,6.923737,0.0,11.323699,77.25,0.0,0.0,11.601108,12.305004,22.439867,6.3936396,19.503485,37.255573,15.284745,9.154014,10.657453,20.449593,2.8396208,2.9703617,0.90982926,4.646652,2.3276536,1.6119753,0.16666667,1.0,0.0,0.0,2.0,3.0,0.0,0.0,2.98362,5.5
11.573077,0.008815951,-3.893675,0.7011703,16.666666,383.838,1.2916666,3.0473344,1.915365,257880.67,9.733939,16.415977,5.1676517,10.023292,5.90718,0.0,10.203821,13.55677,0.0,0.0,11.60094,42.09372,11.639472,9.92777,17.629484,50.53697,5.4092836,5.3167887,5.1389737,4.8954835,0.0,46.01985,11.323699,10.455762,0.0,0.0,23.362825,19.492628,14.817828,5.4092836,5.022633,17.39972,126.25,10.023292,0.0,20.992949,21.989082,11.761885,24.275122,12.132734,0.0,5.3167887,26.566349,28.337955,11.75628,14.87434,0.5632589,0.50990385,1.519205,0.0,-3.893675,0.0,4.0,0.0,1.0,1.0,2.0,1.0,1.0,2.38607,7.85
13.146639,0.03381903,-0.41412398,0.27436405,14.342105,546.048,1.0526316,3.1943922,1.4255702,516630370.0,24.097216,22.645494,16.168247,0.0,0.0,0.0,4.794537,4.9839787,0.0,0.0,41.57158,49.373432,42.728855,21.619486,14.630206,50.938576,0.0,14.450988,7.047672,16.472742,20.137184,81.482735,22.822723,5.4287906,0.0,11.499023,23.362825,44.801228,7.047672,0.0,5.022633,38.89945,91.73,5.4287906,0.0,28.228516,29.115114,33.203182,23.894619,6.066367,61.136665,4.8999095,21.00207,8.247532,20.885435,22.498632,3.5166698,-0.20061387,2.6751018,1.5056237,3.986119,0.1724138,2.0,0.0,1.0,2.0,5.0,0.0,0.0,6.2814,7.23
12.564787,0.0014324872,-0.2232343,0.3690952,16.378378,584.54,1.1621622,3.6743777,1.2081082,427152830.0,15.3704405,10.825486,4.877147,11.7871685,5.90718,0.0,14.488984,9.9679575,0.0,11.336786,28.062677,74.51962,35.743347,6.606882,14.325937,44.898952,0.0,20.184656,11.835813,32.228043,32.060856,57.508366,16.451063,15.3704405,5.817863,5.879988,27.26673,53.426292,11.3392935,11.835813,0.0,10.571075,96.45,0.0,0.0,17.732265,34.10741,55.353725,16.900238,19.310883,12.132734,59.63049,4.736863,7.2393227,36.53049,6.209653,2.0903971,1.1287894,5.5705743,3.4903815,1.6016454,0.4074074,2.0,1.0,1.0,2.0,3.0,1.0,2.0,4.9667,7.31
12.21441,0.251813,-0.46802154,0.32871795,14.962963,404.875,1.2962962,3.2185884,1.8112327,1519109.4,14.470802,17.217535,5.112437,0.0,5.90718,5.9693055,10.111326,4.794537,0.0,0.0,24.9455,48.97053,11.639472,17.192966,18.743088,46.883755,0.0,10.633577,0.0,19.76538,6.606882,52.375206,11.323699,10.633577,0.0,0.0,23.818813,23.595804,9.5314,0.0,5.022633,17.39972,80.57,5.9693055,0.0,16.583069,34.4105,12.841643,0.0,36.407856,6.923737,10.633577,32.972828,10.981023,23.908308,5.7944255,1.2562987,0.21071245,3.279383,2.3698182,0.0,0.21052632,2.0,0.0,1.0,1.0,2.0,1.0,1.0,3.9021,5.92
